"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Czechia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","7.8","7.8","6.5","5.5","5.7","5.8","3.6","1.7","1.4","1.3","0.8","0.6","0.6","No data","No data","No data"
"Denmark","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Djibouti","18.8","11.9","8.7","13.2","7.7","5.4","5.5","5.6","6.5","5.8","5.9","6.0","11.4","8.4","0.0","0.0"
"Dominica","10.9","11.2","11.3","11.8","10.8","10.4","10.9","2.1","2.6","1.6","2.1","2.1","2.1","2.1","2.1","2.7"
"Dominican Republic","29.0","23.6","1.8","4.3","1.5","1.8","2.2","3.9","3.3","1.8","2.8","2.3","4.3","6.8","3.4","4.0"
"Ecuador","2.1","1.7","0.6","1.3","1.2","4.9","1.7","2.0","2.0","1.8","1.0","1.8","0.8","1.0","1.4","1.3"
"Egypt","0.4","2.3","0.2","0.6","0.7","0.7","1.7","1.3","1.6","1.1","0.8","0.6","0.5","0.0","0.0","0.0"
"El Salvador","6.0","7.2","13.0","6.4","5.7","15.5","19.8","8.4","7.8","6.9","4.4","3.4","2.1","1.1","5.4","4.8"
"Equatorial Guinea","4.1","1.5","4.5","9.2","14.4","13.6","18.1","10.5","13.8","10.7","5.1","4.3","3.5","No data","No data","No data"
"Eritrea","7.6","7.7","7.6","4.9","5.8","5.3","7.4","6.1","4.3","8.5","7.7","6.6","5.1","2.9","2.9","2.5"
"Estonia","2.3","2.9","0.8","4.0","14.5","17.0","3.6","4.5","2.7","2.6","1.3","2.0","0.2","No data","No data","No data"
"Eswatini","36.6","52.9","40.9","51.5","53.7","30.6","19.5","18.4","12.6","20.8","4.7","7.8","1.5","1.1","1.1","1.4"
"Ethiopia","3.7","5.3","4.7","5.9","5.7","5.8","4.9","6.1","4.0","2.8","1.6","1.7","0.8","0.7","1.0","0.9"
"Fiji","4.9","7.5","8.2","10.8","7.2","8.5","8.8","9.2","5.3","6.4","11.2","16.0","6.5","6.4","6.1","6.0"
"Finland","0.0","0.1","0.1","0.1","0.3","0.3","0.2","0.0","0.0","0.0","0.0","0.1","0.1","0.2","0.2","0.1"
"France","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gabon","1.6","2.5","1.0","1.1","3.0","2.5","4.5","5.9","7.5","5.2","7.1","3.0","2.9","2.2","1.7","2.7"
"Gambia","8.9","12.8","14.4","9.4","10.2","11.2","7.2","11.1","9.4","8.0","5.0","3.3","3.4","3.7","3.6","4.4"
"Georgia","7.1","8.4","12.3","14.0","9.7","9.4","13.4","25.2","11.9","8.0","5.0","4.7","4.2","4.6","3.5","3.4"
"Germany","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Ghana","20.4","13.2","0.8","7.1","9.9","8.7","7.8","7.9","7.8","7.7","7.3","4.9","3.0","3.0","2.6","2.0"
"Greece","23.9","22.2","15.0","2.8","4.3","0.5","0.3","0.0","No data","No data","No data","No data","No data","No data","No data","No data"
"Grenada","19.4","14.3","14.5","14.6","14.6","11.2","6.6","19.7","10.1","12.6","5.4","5.4","7.2","7.3","7.3","7.3"
"Guatemala","4.7","6.9","7.0","9.0","6.8","6.5","6.7","4.8","6.6","7.2","3.3","3.1","4.8","3.4","3.3","3.9"
"Guinea","6.3","4.7","5.7","5.0","6.0","4.2","4.4","4.4","4.4","3.3","4.3","6.3","6.9","6.7","5.9","6.1"
