"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Cuba","93.8","82.5","86.5","78.5","74.9","55.7","54.6","53.8","55.6","55.1","49.1","45.4","46.1","41.3","37.0","25.2"
"Cyprus","876.5","1023.7","1019.7","1047.4","1127.5","1002.4","1202.2","1252.3","955.6","836.6","794.7","750.9","637.3","489.9","451.1","438.2"
"Czechia","226.4","261.9","254.8","225.5","244.4","229.0","241.3","259.4","170.0","128.9","112.2","83.7","68.0",,,
"Democratic People's Republic of Korea",,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","8.7","8.9","7.5","6.5","5.5","5.8","9.5","7.4","6.7","6.1","5.2","5.0","4.3","4.3","5.6","18.0"
"Denmark","871.7","1027.0","981.6","962.0","1029.3","931.8","966.9","980.8","890.9","770.8","722.2","690.1","580.4","469.0","431.9","421.6"
"Djibouti","18.3","17.2","16.6","17.2","17.1","16.4","16.8","17.2","18.2","18.0","17.3","16.9","17.3","17.4","17.2","16.6"
"Dominica","112.1","116.2","115.6","111.7","109.4","107.2","103.7","103.8","96.1","81.2","82.4","71.6","70.7","68.7","67.8","66.0"
"Dominican Republic","207.7","194.2","185.8","182.1","168.0","162.7","133.5","124.9","112.9","103.1","111.0","74.4","70.2","88.4","88.0","86.3"
"Ecuador","264.7","263.2","251.2","238.3","209.7","196.6","168.3","160.1","128.4","127.9","116.7","101.6","90.9","65.5","45.9","32.8"
"Egypt","109.1","102.9","96.7","100.2","80.8","74.0","66.5","61.4","48.6","43.8","41.8","35.2","35.6","44.1","47.3","47.0"
"El Salvador","95.4","92.7","89.8","95.4","92.6","91.2","90.8","87.9","85.0","77.2","95.7","96.3","97.1","98.6","99.8","98.0"
"Equatorial Guinea","210.1","256.2","251.8","213.0","214.1","194.5","184.6","182.8","151.9","127.6","42.1","36.4","29.1","23.0","49.1","40.3"
"Eritrea","16.2","14.3","13.0","11.8","9.6","8.8","8.2","5.7","5.7","5.4","5.2","5.5","5.1","4.8","5.5","5.9"
"Estonia","271.7","301.5","280.0","237.0","237.1","220.0","214.0","239.9","196.9","163.7","118.5","108.6","82.0",,,
