"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Croatia","654.2","781.9","793.3","840.1","907.4","961.6","1010.7","1068.3","902.3","699.4","624.2","512.8","422.1","309.4","322.8","319.1"
"Cuba","732.0","641.4","476.1","454.0","649.0","611.4","456.5","480.4","425.8","330.7","330.4","185.4","180.3","171.4","160.6","151.0"
"Cyprus","665.8","808.4","885.3","881.4","1012.4","944.5","902.8","904.4","686.1","595.5","533.8","507.3","486.3","400.6","331.5","312.8"
"Czechia","1057.7","1251.0","1299.7","1161.9","1272.1","1144.9","1201.0","1190.0","940.2","813.2","740.4","662.6","572.7",,,
"Democratic People's Republic of Korea",,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","3.3","2.7","2.3","2.3","1.4","1.3","2.1","3.2","1.1","0.5","0.6","0.5","0.5","0.2","0.3","0.5"
"Denmark","4625.7","5397.4","5281.2","5058.2","5278.7","5104.4","5254.8","5157.0","4577.5","4008.1","3720.5","3504.8","3026.7","2426.9","2170.8","2074.4"
"Djibouti","44.6","42.9","41.2","40.8","43.1","33.7","32.4","30.7","25.5","23.4","17.8","17.5","17.5","14.4","13.8","15.3"
"Dominica","260.7","247.3","227.6","239.6","204.0","232.3","225.7","193.7","183.4","172.3","156.2","156.2","156.4","157.0","157.4","156.8"
"Dominican Republic","160.0","158.9","169.3","165.1","157.1","135.1","114.7","104.9","77.6","56.7","53.6","28.0","20.9","29.9","29.5","25.1"
"Ecuador","263.3","291.0","266.6","238.3","194.7","148.7","113.0","97.7","80.1","60.9","50.9","46.9","40.7","30.9","23.9","13.9"
"Egypt","47.1","48.7","43.4","42.6","41.7","36.7","36.8","32.9","27.4","25.3","20.3","17.3","16.9","23.2","24.6","25.5"
"El Salvador","181.8","171.2","166.8","154.7","156.0","133.5","119.3","121.6","115.9","120.3","103.7","92.3","85.0","85.1","77.7","76.1"
"Equatorial Guinea","65.9","79.5","93.0","89.2","60.9","54.4","76.1","106.7","66.6","48.8","32.7","27.5","15.1","8.6","8.7","10.5"
"Eritrea","7.1","5.9","3.6","5.8","4.3","3.6","1.7","3.4","3.0","1.8","1.8","3.5","3.0","3.3","3.0","3.3"
"Estonia","838.0","934.0","865.4","774.2","764.7","690.7","746.4","795.2","634.2","453.6","392.5","340.1","268.3",,,
"Eswatini","150.6","149.3","170.0","174.0","208.3","213.8","135.3","126.6","114.4","101.6","104.6","76.5","63.3","34.4","36.8","42.4"
"Ethiopia","6.5","4.0","5.4","5.0","1.4","2.9","3.4","1.8","3.2","2.1","2.7","1.8","2.7","2.3","2.4","2.2"
"Fiji","110.1","113.3","96.6","94.3","89.1","86.4","80.0","100.1","109.1","100.6","95.8","80.1","68.3","53.9","46.1","59.2"
"Finland","3100.7","3679.8","3676.6","3444.0","3527.6","3155.5","3241.7","3344.2","2923.9","2548.5","2437.8","2290.1","1954.1","1487.2","1297.6","1225.7"
"France","3177.6","3765.4","3672.5","3479.4","3691.0","3436.4","3549.7","3609.8","3278.7","2908.2","2811.9","2720.0","2363.0","0.0","0.0","0.0"
"Gabon","116.6","147.0","176.5","144.9","169.9","137.7","118.0","107.2","102.9","85.5","71.8","77.3","70.2","49.2","50.2","46.6"
"Gambia","14.8","10.5","7.9","11.7","11.0","10.4","13.1","11.8","10.6","8.4","9.6","9.2","6.2","3.8","6.4","5.4"
"Georgia","109.0","96.5","76.7","59.9","51.0","55.8","52.1","47.1","26.2","21.0","17.7","13.6","10.3","8.5","7.7","7.2"
"Germany","3878.7","4460.7","4276.3","3958.2","4189.8","3919.4","3964.5","3605.4","3228.3","2853.5","2758.7","2684.0","2491.9","2034.5","1874.5","1869.4"
"Ghana","27.8","25.1","56.1","43.1","43.8","34.2","27.0","27.9","23.3","18.2","15.4","7.0","7.1","5.0","6.7","4.7"
"Greece","889.1","995.0","1122.5","1284.4","1552.8","1777.2","1929.8","1754.4",,,,,,,,
"Grenada","178.3","177.2","177.8","182.0","200.4","204.7","210.1","197.7","193.7","199.0","181.7","146.1","130.2","130.6","105.5","91.1"
"Guatemala","71.9","79.8","74.1","63.5","61.3","57.1","57.9","57.8","49.2","45.7","39.3","38.4","35.3","33.4","31.3","27.9"
"Guinea","4.3","4.0","3.5","3.4","3.1","2.5","1.7","2.1","1.9","1.3","1.5","1.5","2.7","3.6","1.9","1.7"
"Guinea-Bissau","12.3","12.9","12.0","7.8","3.6","5.6","15.5","13.9","12.1","11.4","12.3","14.2","9.4","5.9","10.0","10.6"
"Guyana","94.9","108.5","95.6","79.3","66.1","52.7","44.8","42.2","41.9","36.7","41.0","39.3","38.1","37.5","33.3","32.5"
"Haiti","5.7","6.0","6.7","5.9","5.4","3.9","3.8","4.7","3.8","2.4","2.6","2.0","2.2","2.8","3.6","4.4"
"Honduras","68.5","65.1","68.6","73.7","63.4","66.7","66.4","52.1","50.7","45.4","38.6","30.2","30.6","29.1","28.5","33.3"
"Hungary","596.3","676.0","660.2","629.9","707.4","659.7","644.9","769.8","691.3","632.2","632.8","562.0","481.7",,,
"Iceland","3564.8","3735.5","3356.6","3104.7","3202.1","2952.8","2997.8","3976.6","4921.2","4093.6","4229.2","3634.3","3215.2","0.0","0.0","0.0"
"India","16.2","13.5","13.0","13.7","14.1","11.9","9.8","8.6","7.5","6.1","5.6","4.5","4.1","3.7","3.7","3.8"
"Indonesia","42.7","46.3","45.4","42.8","37.9","32.8","22.5","21.3","20.5","14.3","10.0","9.4","9.5","6.6","6.4","5.0"
"Iran (Islamic Republic of)","195.4","192.8","159.2","178.2","175.0","142.6","134.7","111.0","98.0","82.5","63.9","51.4","45.5","41.1","35.9","30.3"
"Iraq","35.9","69.5","79.4","67.1","122.3","107.5","126.6","101.7","63.8","37.6","37.4","37.9","12.8",,,
"Ireland","3329.4","3822.7","3791.6",,,,,,,,,,,,,
"Israel",,,"1682.6","1496.2","1517.2","1395.4","1240.9","1306.4","1083.3","991.0",,,,,,
"Italy","2021.8","2413.2","2430.4","2379.6","2608.8","2521.9","2603.2","2710.9","2393.2","2200.5","2074.0","1952.6","1625.8","1315.0","1183.0","1104.4"
"Jamaica","172.4","141.1","161.5","146.3","150.8","139.6","125.5","144.6","123.8","104.8","82.3","102.0","79.8","100.3","82.5","108.0"
"Japan","0.0","3448.4","3653.7","4374.5","4260.0","3326.4","2996.4","2608.3","2252.6","2212.2","2340.1","2308.5","2112.7","1941.7","2007.6","2204.2"
"Jordan","147.2","194.4","180.6","199.3","214.2","205.9","222.6","179.3","130.0","104.8","101.0","73.1","80.2","83.0","77.9","71.9"
"Kazakhstan","228.1","284.1","313.7","304.9","266.9","240.3","187.9","188.4","117.7","118.8","92.5","64.3","40.8","31.5","29.0","25.7"
"Kenya","23.2","24.0","22.9","20.7","17.4","17.1","12.2","10.9","13.0","10.3","9.3","9.1","9.4","8.7","8.3","7.9"
"Kiribati","103.7","133.7","132.8","136.5","141.0","127.9","113.3","150.3","126.5","112.1","134.9","136.2","104.0","94.4","87.3","66.6"
"Kuwait","983.0","1181.8","1058.3","1121.5","1089.0","898.4","1267.2","840.1","768.8","779.9","673.9","591.7","572.4","506.5","485.4","351.3"
"Kyrgyzstan","41.3","47.7","50.9","49.8","41.6","30.2","30.6","28.3","22.6","23.3","18.4","10.3","8.7","7.1","6.2","5.9"
"Lao People's Democratic Republic","18.7","13.8","13.1","6.9","5.2","8.1","12.4","5.4","4.6","4.3","4.8","3.8","4.4","3.8","4.7","4.5"
"Latvia","450.7","733.2","690.8","645.1","682.4","585.5","631.5","789.1","675.2","488.7","352.5","317.6","200.7","168.4","142.7","131.3"
"Lebanon","326.0","338.5","334.5","358.2","311.7","266.0","232.4","218.2","213.8","192.8","156.4","162.6","154.7","163.1","178.4","169.9"
"Lesotho","51.6","52.7","40.8","48.1","46.5","37.2","44.7","40.1","41.6","27.7","20.2","23.9","19.5","13.2","16.4","14.3"
"Liberia","5.1","5.3","8.0","7.5","8.7","4.0","4.5","6.3","3.1","2.3","1.7","2.0","1.2","1.5","2.4","2.3"
"Libya",,,,,"197.8","280.4","244.9","217.5","183.4","153.6","137.2","132.9","125.8","121.2","138.4","119.2"
"Lithuania","608.0","680.2","635.3","604.0","657.3","577.4","626.8","667.4","500.7","362.7","293.0","244.1","259.2","190.3","152.2","140.4"
"Luxembourg","5155.6","6282.8","6268.8","5940.1","5976.8","6350.3","6553.6","6538.0","5643.0","5023.2","4835.8","4675.8","3809.5","2966.5","2570.0","2377.1"
"Madagascar","9.5","9.3","7.1","5.8","8.0","9.0","6.0","7.6","8.2","5.6","4.8","4.7","5.9","6.1","6.7","5.6"
"Malawi","9.8","7.8","6.9","5.0","8.3","7.3","6.3","7.2","3.3","4.0","4.2","3.3","4.3","3.7","2.8","3.5"
"Malaysia","200.8","233.2","210.8","207.1","188.7","156.8","142.5","146.3","129.0","110.8","81.7","80.3","75.2","63.2","58.7","52.6"
"Maldives","770.2","766.8","545.0","314.5","393.6","319.2","385.3","421.2","217.6","142.4","108.3","91.3","74.8","71.7","74.8","73.3"
"Mali","7.0","7.5","5.8","3.6","5.8","4.6","6.2","7.3","9.0","9.7","8.8","8.7","5.4","3.4","3.2","2.8"
"Malta","1397.6","1527.9","1436.5","1245.4","1263.7","1118.2","1088.9","1134.0","1065.1","1008.8","953.2","852.2","749.4","584.7","471.2","465.0"
"Marshall Islands","399.5","330.6","397.7","350.3","325.4","258.0","293.4","297.2","349.2","267.3","264.1","267.4","249.7","251.9","274.1","324.8"
"Mauritania","20.9","20.3","19.4","15.7","13.6","11.4","11.8","13.6","10.1","8.3","7.7","5.7","5.4","5.4","3.4","3.1"
"Mauritius","231.8","252.2","188.4","174.5","159.9","158.0","115.4","113.2","98.6","93.9","95.3","103.3","85.0","71.9","64.3","63.7"
"Mexico","279.0","307.3","326.0","299.6","290.1","262.1","222.9","255.5","237.8","214.6","199.4","189.2","166.6",,,
"Micronesia (Federated States of)","102.6","96.7","84.6","81.3","91.2","65.6","58.9","74.2","59.8","62.6","62.6","52.4","48.3","38.4","41.0","37.9"
"Monaco","2680.7","3129.8","3010.0","2761.7","2867.4","2744.2","2763.1","2800.2","2396.1","2174.4","2133.8","2096.8","1806.0","1258.6","1150.2","1129.2"
"Mongolia","79.6","79.8","86.3","87.5","67.5","54.6","43.7","56.4","39.4","27.7","22.7","21.2","18.0","20.4","18.3","20.1"
"Montenegro","256.6","282.4","283.5","262.8","274.2","254.2","223.5","279.1","257.3","232.9","205.2","201.6","177.5","116.0","106.3","78.5"
"Morocco","69.2","80.7","79.5","72.0","72.6","67.3","73.1","62.3","55.8","40.5","25.2","25.4","21.8","17.5","14.7","13.2"
"Mozambique","2.3","11.7","6.2","8.6","1.6","1.7","3.1","6.5","9.5","11.5","11.1","9.0","7.9","8.4","9.1","8.2"
"Myanmar","13.6","12.4","6.9","4.8","2.4","1.5","1.2","0.9","0.7","0.8","0.4","0.6","0.5","0.7","0.4","0.4"
"Namibia","266.5","283.2","281.4","285.3","293.8","265.4","184.1","213.4","252.6","207.3","208.3","209.9","167.9","113.5","116.4","128.0"
"Nauru","440.3","515.5","337.9","389.6","378.4","375.1","297.4","446.3","408.1","317.1","293.7","254.9","275.3","208.0","199.6","235.1"
"Nepal","8.1","7.5","6.1","5.9","6.1","5.4","4.3","3.6","3.2","3.3","2.8","2.1","2.1","2.3","1.8","1.3"
"Netherlands","3830.5","4578.3","4563.4","4428.5","4639.7","4333.4","4391.1","4433.8","3934.3","3376.6","2595.1","2237.3","1987.3","0.0","0.0","0.0"
