"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Cyprus","28.6","17.2","16.8","14.8","13.9","12.8","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Czechia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","13.3","13.3","10.9","9.1","10.0","10.8","7.1","3.0","2.7","2.7","1.8","1.5","1.4","No data","No data","No data"
"Denmark","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Djibouti","33.8","21.7","16.0","24.3","14.5","10.6","11.0","11.1","14.0","12.8","13.1","13.3","25.5","18.7","0.0","0.0"
"Dominica","16.6","16.9","16.6","17.8","15.7","15.0","15.6","3.2","4.0","2.4","3.1","3.0","3.1","2.9","2.9","3.6"
"Dominican Republic","63.8","50.2","3.7","8.5","3.0","3.6","4.5","7.8","6.9","4.2","6.1","6.8","13.3","16.5","7.8","9.1"
"Ecuador","3.9","3.1","1.2","2.3","2.4","9.7","3.5","4.2","4.7","4.4","2.6","4.7","2.0","3.0","4.5","5.4"
"Egypt","1.3","7.2","0.8","1.8","2.6","2.7","6.9","5.7","8.1","6.1","4.5","3.7","3.0","0.0","0.0","0.0"
"El Salvador","12.2","14.7","26.4","12.9","11.3","32.0","41.3","17.2","16.6","14.8","9.7","7.5","4.7","2.5","12.1","10.7"
"Equatorial Guinea","11.5","2.6","7.6","15.5","23.1","26.2","41.0","17.8","29.3","24.9","13.0","17.2","17.4","No data","No data","No data"
"Eritrea","13.9","15.6","16.7","11.6","15.0","15.3","23.4","24.8","19.8","41.4","40.3","32.6","30.4","21.2","19.3","16.1"
"Estonia","3.9","4.2","1.1","6.0","20.4","25.1","5.0","5.6","3.6","3.9","2.1","3.3","0.4","No data","No data","No data"
"Eswatini","99.0","127.3","91.7","102.8","100.0","60.0","47.1","47.4","29.3","47.9","10.3","17.6","4.2","4.4","3.9","4.0"
"Ethiopia","10.0","14.2","13.0","16.1","19.5","20.1","13.9","17.3","13.5","10.6","6.5","7.5","3.6","3.3","4.3","3.5"
"Fiji","9.3","13.1","14.3","18.4","12.4","16.8","18.3","15.7","9.1","11.7","20.3","30.7","13.5","16.4","16.6","15.4"
"Finland","0.0","0.1","0.1","0.1","0.2","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.1","0.2","0.2","0.1"
"France","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gabon","3.9","4.4","1.8","1.9","4.4","4.2","8.4","8.5","13.8","10.7","15.9","7.7","8.4","7.7","6.0","9.3"
"Gambia","31.7","47.6","49.1","29.8","30.2","32.1","20.3","27.2","25.8","25.3","16.0","11.1","12.4","10.2","8.7","8.5"
"Georgia","18.2","17.4","24.6","27.1","19.0","21.0","30.0","48.9","27.8","21.2","14.4","14.9","15.6","17.9","13.4","12.8"
"Germany","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Ghana","63.8","38.8","1.8","16.0","21.4","20.0","20.3","17.7","18.0","20.1","33.2","24.5","16.3","18.5","17.5","13.8"
"Greece","35.0","27.1","18.0","3.2","4.4","0.5","0.3","0.0","No data","No data","No data","No data","No data","No data","No data","No data"
"Grenada","28.5","21.1","21.3","21.7","22.2","16.6","9.7","28.8","15.7","19.5","8.5","8.4","11.2","11.0","10.9","10.9"
"Guatemala","9.2","14.1","14.6","19.1","14.7","15.0","16.4","11.2","16.6","19.0","8.9","9.0","14.2","10.0","10.3","11.2"
"Guinea","14.2","10.6","13.4","12.6","16.0","11.3","11.8","11.9","12.2","12.4","15.2","16.9","18.5","20.2","17.6","16.0"
"Guinea-Bissau","31.7","32.1","7.5","17.3","38.3","31.4","8.7","20.4","19.6","10.9","8.9","7.6","7.7","7.6","3.6","8.9"
"Guyana","26.8","31.8","30.4","44.9","57.2","52.7","58.6","43.1","31.3","28.3","12.2","8.9","8.3","7.4","7.5","6.3"
"Haiti","58.7","61.5","58.3","101.8","109.7","94.1","75.6","57.7","52.0","33.3","28.0","30.4","26.4","26.8","32.1","33.6"
"Honduras","24.9","25.5","21.4","19.3","16.3","19.8","21.0","19.4","14.1","7.9","13.7","17.9","17.0","8.0","4.4","5.5"
"Hungary","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","No data","No data","No data"
