"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Cuba","93.8","82.5","86.5","78.5","74.9","55.7","54.6","53.8","55.6","55.1","49.1","45.4","46.1","41.3","37.0","25.2"
"Cyprus","686.1","827.3","828.0","855.6","921.6","802.2","1051.1","1107.8","826.8","712.4","680.7","642.0","545.7","469.9","431.9","419.6"
"Czechia","190.4","213.1","211.2","212.2","227.8","209.5","217.1","233.8","151.3","109.7","94.6","79.9","66.4","49.8","41.4","35.0"
"Democratic People's Republic of Korea",,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","7.4","7.5","6.4","5.6","4.8","4.8","6.2","5.6","5.1","4.7","3.9","3.9","3.3","3.2","4.2","10.1"
"Denmark","754.4","896.9","861.1","850.1","913.9","826.7","851.4","866.5","796.3","694.2","653.5","623.8","525.1","426.5","393.4","383.3"
"Djibouti","16.7","16.3","16.0","16.3","16.4","16.1","16.5","16.9","18.0","17.8","17.1","16.7","17.1","17.2","17.0","16.4"
"Dominica","109.0","113.1","112.4","108.0","105.9","103.7","100.0","100.1","92.9","78.5","79.7","68.9","68.2","66.3","65.4","63.8"
"Dominican Republic","173.3","163.1","153.8","150.7","138.6","131.6","107.2","101.9","92.4","88.5","90.2","65.2","61.5","77.4","77.1","75.6"
"Ecuador","231.7","230.3","219.8","206.4","182.8","173.3","149.4","141.6","112.8","116.5","106.2","91.8","82.4","61.2","43.6","30.7"
"Egypt","97.1","90.8","85.9","90.3","74.6","69.8","63.4","59.1","46.9","42.4","40.6","34.3","34.7","42.9","45.9","45.3"
"El Salvador","78.9","78.2","76.6","83.1","81.5","80.8","79.8","78.1","75.6","68.7","87.7","89.2","90.6","92.1","93.0","92.7"
"Equatorial Guinea","201.6","240.7","235.3","195.3","196.5","180.5","171.1","164.2","139.0","115.2","32.6","29.8","25.2","19.9","46.5","38.4"
"Eritrea","16.2","14.3","13.0","11.8","9.6","8.8","8.2","5.7","5.7","5.4","5.2","5.5","5.1","4.8","5.5","5.9"
"Estonia","253.2","280.2","259.1","218.5","219.1","203.4","196.0","215.4","185.4","157.1","105.2","96.7","72.2","51.7","41.5","42.8"
"Eswatini","26.3","29.1","31.0","34.3","35.3","33.7","25.8","24.1","25.4","24.7","24.5","21.2","16.4","11.1","12.1","14.0"
"Ethiopia","9.2","8.7","8.5","8.7","7.0","7.1","5.7","5.2","3.9","2.9","2.1","2.0","2.0","1.9","1.9","1.9"
"Fiji","37.5","36.8","37.2","39.9","37.5","30.2","31.7","23.8","23.5","19.5","15.6","15.2","11.7","9.0","8.5","8.3"
"Finland","796.7","896.7","893.2","824.5","879.8","818.8","811.0","844.5","749.5","649.5","592.2","564.5","492.8","434.0","393.8","384.5"
"France","273.7","330.6","330.6","326.8","354.4","329.4","345.4","359.0","310.1","274.6","263.3","250.2","221.3","174.0","160.7","156.9"
"Gabon","51.3","69.1","78.6","66.3","76.0","55.3","120.0","123.0","111.0","96.6","92.3","89.9","82.1","68.9","64.5","59.6"
"Gambia","6.5","6.1","6.1","6.5","6.8","6.8","6.7","7.5","6.2","5.0","4.4","3.7","3.9","5.6","6.2","8.1"
"Georgia","161.0","230.2","231.4","237.2","219.5","190.9","170.2","170.3","134.0","105.8","94.4","74.7","57.0","45.6","38.9","37.1"
"Germany","575.3","674.3","671.6","662.8","698.4","653.1","653.5","660.9","603.1","535.2","512.7","493.8","403.2","318.2","284.1","283.0"
