"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Mongolia","59.9","61.0","66.5","53.1","43.3","27.8","17.4","20.9","15.5","12.8","12.2","8.5","6.6","6.5","5.9","5.2"
"Montenegro","121.6","140.7","138.3","129.5","142.0","130.1","133.9","159.0","125.5","80.9","72.1","64.0","53.4","43.8","36.8","29.1"
"Morocco","84.8","94.4","92.8","90.8","97.2","93.8","90.3","86.5","75.3","64.5","57.7","51.9","43.3","33.9","29.7","29.0"
"Mozambique","1.9","2.4","2.5","2.5","2.2","1.8","2.2","2.4","2.2","2.2","2.2","2.2","1.9","1.7","1.4","1.7"
"Myanmar","43.7","46.3","15.3","16.1","15.8","12.2","11.5","9.0","6.1","4.7","4.7","4.1","4.1","4.4","3.0","2.9"
"Namibia","35.2","39.8","47.1","58.1","56.7","46.8","31.9","23.6","32.2","14.1","17.7","14.5","13.8","7.1","5.6","6.3"
"Nauru","10.2","9.7","8.5","6.7","12.7","15.2","18.0","17.9","13.5","14.3","14.5","15.5","13.3","11.4","10.7","12.0"
"Nepal","26.8","24.6","22.0","18.8","20.0","16.8","12.2","11.9","10.7","6.0","7.1","6.9","6.1","5.6","5.4","4.8"
"Netherlands","581.5","692.7","657.4","561.1","561.1","515.2","516.9","582.9","414.2","375.1","409.7","267.9","237.9","193.4","180.9","173.5"
"New Zealand",,,"501.0","485.4","459.3","408.2","346.9","384.7","309.2","318.5","322.9","279.8",,"200.1","178.2","161.9"
"Nicaragua","58.6","55.1","51.4","49.9","47.2","44.0","43.3","44.5","39.2","33.1","28.7","27.5","23.9","26.2","23.2","23.4"
"Niger","13.4","13.8","14.0","13.9","14.4","13.1","13.1","13.1","11.7","10.2","9.6","9.1","7.9","6.2","5.6","5.5"
"Nigeria","70.3","77.5","72.7","67.4","63.1","59.0","51.4","59.1","49.7","47.9","36.2","29.0","28.9","12.1","11.5","10.7"
