"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Croatia","384.5","365.5","312.5","302.4","318.9","233.0","234.3","242.7","186.4","168.8","147.5","180.5","149.4","156.5","140.2","112.4"
"Cuba","281.4","250.0","262.7","241.1","230.9","176.9","173.3","170.4","172.4","172.3","164.4","147.8","146.9","132.9","122.6","82.0"
"Cyprus","1198.1","1141.4","1118.4","1153.4","1160.8","1083.2","1270.0","1233.3","1004.3","939.0","884.5","823.9","765.6","732.1","710.0","662.7"
"Czechia","435.4","429.6","390.3","332.1","324.1","320.5","337.7","318.2","241.6","202.0","184.6","149.1","135.2","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","15.0","15.2","12.6","10.9","9.7","10.8","18.4","13.3","13.0","12.4","11.6","11.9","10.8","10.1","10.3","5.9"
"Denmark","806.1","787.2","750.2","736.7","740.1","691.7","671.3","629.4","593.3","552.9","505.4","488.6","441.6","432.4","414.6","392.8"
"Djibouti","32.8","31.3","30.5","31.9","32.3","31.9","33.5","34.1","39.5","39.9","38.5","37.5","38.5","38.9","38.0","36.5"
"Dominica","171.1","175.0","170.5","168.4","158.7","155.0","148.6","159.4","146.9","122.8","123.7","103.0","102.6","94.2","91.7","88.7"
"Dominican Republic","457.1","412.4","379.2","357.0","330.2","330.4","273.2","253.6","237.1","237.3","239.7","220.6","215.4","214.4","202.1","197.2"
"Ecuador","489.5","470.8","456.5","439.3","398.5","386.7","351.6","334.1","299.3","309.5","296.0","269.0","244.2","190.7","147.5","132.4"
"Egypt","345.0","328.5","328.3","321.8","295.2","280.1","269.8","269.6","243.6","244.8","245.1","228.2","236.7","235.7","227.3","196.4"
"El Salvador","194.9","188.6","182.1","191.3","184.2","187.7","188.8","180.6","180.2","166.6","209.1","213.0","215.5","220.5","222.5","220.8"
"Equatorial Guinea","592.3","443.1","421.4","358.5","342.9","375.1","418.8","309.0","323.0","297.1","108.4","144.8","145.1","135.6","295.4","202.5"
"Eritrea","29.4","29.0","28.6","28.0","25.0","25.2","26.0","23.4","26.5","26.4","27.1","26.9","30.8","34.6","36.8","37.9"
"Estonia","461.0","431.9","404.0","354.0","333.3","324.8","298.0","300.9","260.8","250.3","189.3","177.1","149.3","No data","No data","No data"
"Eswatini","123.0","121.0","120.1","117.6","127.4","135.0","131.8","143.5","135.6","128.6","121.2","109.2","102.2","98.9","95.8","94.1"
"Ethiopia","37.8","35.5","27.8","27.6","28.0","27.8","18.4","15.7","14.5","12.1","9.5","9.9","9.8","10.7","10.0","9.1"
"Fiji","113.5","111.4","104.6","94.6","89.2","79.4","83.3","59.1","62.3","53.5","39.8","41.3","34.6","32.3","32.2","30.0"
"Finland","902.7","875.7","861.8","823.5","814.9","791.1","753.3","728.2","667.3","621.2","557.3","531.4","494.9","518.9","494.4","476.4"
"France","957.3","950.0","934.9","892.7","884.3","839.9","813.4","777.5","730.1","699.5","668.3","630.6","605.8","No data","No data","No data"
"Gabon","193.6","174.1","172.0","152.5","150.1","131.5","264.0","210.3","239.9","235.9","243.6","269.8","284.4","279.8","273.9","239.8"
"Gambia","29.2","28.7","25.8","31.2","32.4","31.0","32.5","32.1","26.9","24.1","20.9","18.5","20.3","25.6","24.3","25.7"
"Georgia","421.1","507.7","491.4","482.7","451.1","439.1","406.0","356.4","325.8","287.4","274.0","239.2","214.2","177.9","150.7","139.6"
"Germany","831.9","818.7","804.8","794.0","767.1","730.4","691.1","936.0","882.1","839.1","788.7","756.7","682.2","634.6","588.7","559.0"
"Ghana","98.4","112.8","103.6","88.2","91.3","97.4","92.9","95.2","84.1","81.3","129.6","116.8","111.6","108.2","105.7","102.9"
"Greece","866.9","852.7","811.4","747.4","803.7","834.1","906.5","1207.9","No data","No data","No data","No data","No data","No data","No data","No data"
"Grenada","386.4","384.5","373.0","360.1","359.1","350.4","338.4","349.3","329.1","282.1","264.8","230.2","253.3","252.3","241.4","243.1"
"Guatemala","292.5","290.1","280.8","285.7","276.1","273.7","269.0","279.0","282.6","271.7","255.5","242.3","234.1","228.6","222.1","157.1"
"Guinea","33.1","35.3","37.6","36.4","37.4","34.1","33.3","32.8","34.4","29.7","27.7","26.4","24.2","27.4","25.5","24.2"
"Guinea-Bissau","37.3","38.6","40.1","38.2","34.1","38.9","29.7","37.7","34.8","34.4","31.3","29.3","25.9","26.4","28.1","29.5"
"Guyana","136.4","146.0","146.3","133.6","126.3","113.3","101.2","88.2","80.1","66.9","55.7","44.2","43.0","29.5","30.0","27.6"
"Haiti","48.6","50.9","49.6","48.5","45.1","47.7","51.0","48.3","41.1","39.5","40.5","41.7","43.4","44.7","46.2","47.5"
"Honduras","191.4","190.7","195.5","193.5","171.8","166.1","161.7","183.2","160.2","146.3","128.4","113.1","102.7","93.6","88.0","79.9"
"Hungary","636.2","598.3","591.9","593.6","575.9","532.9","474.1","456.4","426.7","417.4","400.0","373.3","369.4","No data","No data","No data"
"Iceland","762.5","738.3","715.0","683.3","663.2","662.3","668.7","643.4","621.4","622.2","636.6","632.6","597.2","0.0","0.0","0.0"
"India","174.8","155.6","151.1","116.3","105.7","106.1","103.4","99.6","98.1","90.0","85.0","81.4","75.5","73.5","70.8","61.8"
"Indonesia","226.0","216.3","207.4","205.4","200.1","194.4","139.2","133.6","134.6","124.8","116.6","82.0","81.1","70.8","66.1","62.5"
"Iran (Islamic Republic of)","588.1","606.7","636.3","745.6","797.0","812.4","689.4","543.1","488.0","443.0","451.1","412.4","360.2","305.9","314.2","283.4"
"Iraq","367.9","273.0","256.8","247.5","93.1","105.2","100.6","76.8","103.7","87.4","85.1","103.2","99.3","No data","No data","No data"
"Ireland","1601.1","1565.5","1522.4","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Israel","No data","No data","882.4","832.4","789.0","747.7","749.8","735.8","749.1","667.7","No data","No data","No data","No data","No data","No data"
"Italy","842.0","797.4","782.3","776.5","738.3","677.7","673.9","678.7","626.8","609.8","566.6","575.1","565.3","566.8","552.1","560.3"
"Jamaica","200.2","204.3","203.7","187.7","189.0","174.6","172.6","199.5","184.5","144.5","149.3","144.1","150.5","129.8","178.3","154.6"
"Japan","No data","673.4","657.8","640.9","614.3","577.0","558.6","535.2","508.9","505.6","461.9","457.3","439.0","403.6","383.2","372.9"
"Jordan","205.3","199.6","213.9","214.9","221.4","224.1","260.6","311.2","297.1","296.1","315.1","303.6","302.4","311.9","309.8","289.6"
"Kazakhstan","356.5","336.3","299.8","282.5","226.2","261.4","272.8","252.3","243.6","223.1","215.1","205.4","186.9","169.1","136.4","159.2"
"Kenya","75.8","73.6","66.8","70.5","69.1","62.7","63.0","60.1","57.9","52.0","49.7","47.0","45.8","53.1","54.1","51.6"
"Kiribati","6.5","6.1","6.0","6.3","5.6","5.4","5.8","5.9","4.7","4.7","5.3","4.4","4.5","4.7","4.3","4.6"
"Kuwait","473.3","335.3","305.8","305.0","280.6","311.9","395.6","379.3","414.6","377.8","398.7","422.7","430.7","414.2","373.5","335.3"
