"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Cuba","281.4","250.0","262.7","241.1","230.9","176.9","173.3","170.4","172.4","172.3","164.4","147.8","146.9","132.9","122.6","82.0"
"Cyprus","937.8","922.4","908.2","942.1","948.8","866.8","1110.4","1091.0","868.9","799.5","757.6","704.3","655.5","702.1","679.7","634.5"
"Czechia","366.2","349.5","323.6","312.3","302.1","293.2","303.8","286.8","215.1","171.9","155.6","142.3","132.0","112.7","110.1","94.1"
"Democratic People's Republic of Korea",,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","12.7","12.8","10.8","9.4","8.5","9.0","12.0","9.9","9.8","9.6","8.8","9.3","8.1","7.6","7.8","3.3"
"Denmark","697.6","687.4","658.2","651.0","657.2","613.7","591.1","556.1","530.3","497.9","457.3","441.7","399.5","393.3","377.6","357.1"
"Djibouti","29.9","29.6","29.4","30.2","31.1","31.4","33.0","33.6","39.0","39.5","38.0","37.0","38.1","38.4","37.6","36.1"
"Dominica","166.4","170.2","165.7","162.7","153.6","149.9","143.2","153.6","142.0","118.6","119.7","99.2","99.0","90.9","88.4","85.7"
"Dominican Republic","381.4","346.5","313.9","295.4","272.5","267.2","219.4","206.8","194.1","203.7","194.8","193.3","188.8","187.9","177.1","172.8"
"Ecuador","428.5","411.9","399.5","380.6","347.5","340.9","312.1","295.5","262.8","282.0","269.4","242.9","221.3","178.3","140.1","124.0"
"Egypt","306.8","289.9","291.7","289.9","272.3","264.1","257.5","259.4","234.7","237.0","238.1","221.8","230.3","229.3","220.5","189.4"
"El Salvador","161.2","159.1","155.4","166.5","162.1","166.3","166.1","160.4","160.4","148.1","191.7","197.2","201.0","205.9","207.2","208.9"
"Equatorial Guinea","568.4","416.2","393.6","328.8","314.8","348.1","388.1","277.5","295.5","268.2","83.9","118.6","125.4","117.1","279.4","192.8"
"Eritrea","29.4","29.0","28.6","28.0","25.0","25.2","26.0","23.4","26.5","26.4","27.1","26.9","30.8","34.6","36.8","37.9"
"Estonia","429.7","401.4","373.9","326.3","308.1","300.3","273.1","270.1","245.5","240.2","168.1","157.6","131.4","112.8","95.2","99.0"
"Eswatini","71.1","70.0","69.5","68.6","65.6","66.1","62.1","62.0","59.1","57.0","53.3","47.8","44.3","43.5","41.9","41.4"
"Ethiopia","24.8","23.3","23.7","24.0","24.2","24.3","16.0","14.6","13.3","10.9","8.4","8.7","8.6","9.2","8.6","7.7"
"Fiji","71.0","64.1","64.5","67.6","64.5","59.6","65.7","40.4","40.1","35.9","28.2","29.2","24.5","22.9","22.8","21.3"
"Finland","794.9","746.4","743.7","706.4","704.7","687.9","652.0","632.0","585.0","543.1","486.2","467.1","435.3","462.1","440.0","423.8"
